Id,src,dst,sport,dport,flowsize,startTimeslot,broadcast
1,h1,h2,10001,20001,64,0,
2,h2,h1,10002,20002,64,0,
3,h3,h4,10003,20003,64,0,
4,h4,h3,10004,20004,64,0,
5,h5,h6,10005,20005,64,0,
6,h6,h5,10006,20006,64,0,
7,h7,h8,10007,20007,64,0,
8,h8,h7,10008,20008,64,0,
9,h9,h10,10009,20009,64,0,
10,h10,h9,10010,20010,64,0,
11,h11,h12,10011,20011,64,0,
12,h12,h11,10012,20012,64,0,
13,h13,h14,10013,20013,64,0,
14,h14,h13,10014,20014,64,0,
15,h15,h16,10015,20015,64,0,
16,h16,h15,10016,20016,64,0,
17,h1,h3,10017,20017,32,-1,
18,h3,h1,10018,20018,32,-1,
19,h2,h4,10019,20019,32,-1,
20,h4,h2,10020,20020,32,-1,
21,h5,h7,10021,20021,32,-1,
22,h7,h5,10022,20022,32,-1,
23,h6,h8,10023,20023,32,-1,
24,h8,h6,10024,20024,32,-1,
25,h9,h11,10025,20025,32,-1,
26,h11,h9,10026,20026,32,-1,
27,h10,h12,10027,20027,32,-1,
28,h12,h10,10028,20028,32,-1,
29,h13,h15,10029,20029,32,-1,
30,h15,h13,10030,20030,32,-1,
31,h14,h16,10031,20031,32,-1,
32,h16,h14,10032,20032,32,-1,
33,h1,h5,10033,20033,16,-2,
34,h5,h1,10034,20034,16,-2,
35,h2,h6,10035,20035,16,-2,
36,h6,h2,10036,20036,16,-2,
37,h3,h7,10037,20037,16,-2,
38,h7,h3,10038,20038,16,-2,
39,h4,h8,10039,20039,16,-2,
40,h8,h4,10040,20040,16,-2,
41,h9,h13,10041,20041,16,-2,
42,h13,h9,10042,20042,16,-2,
43,h10,h14,10043,20043,16,-2,
44,h14,h10,10044,20044,16,-2,
45,h11,h15,10045,20045,16,-2,
46,h15,h11,10046,20046,16,-2,
47,h12,h16,10047,20047,16,-2,
48,h16,h12,10048,20048,16,-2,
49,h1,h2,10049,20049,16,-3,
50,h2,h1,10050,20050,16,-3,
51,h3,h4,10051,20051,16,-3,
52,h4,h3,10052,20052,16,-3,
53,h5,h6,10053,20053,16,-3,
54,h6,h5,10054,20054,16,-3,
55,h7,h8,10055,20055,16,-3,
56,h8,h7,10056,20056,16,-3,
57,h9,h10,10057,20057,16,-3,
58,h10,h9,10058,20058,16,-3,
59,h11,h12,10059,20059,16,-3,
60,h12,h11,10060,20060,16,-3,
61,h13,h14,10061,20061,16,-3,
62,h14,h13,10062,20062,16,-3,
63,h15,h16,10063,20063,16,-3,
64,h16,h15,10064,20064,16,-3,
65,h1,h3,10065,20065,32,-4,
66,h3,h1,10066,20066,32,-4,
67,h2,h4,10067,20067,32,-4,
68,h4,h2,10068,20068,32,-4,
69,h5,h7,10069,20069,32,-4,
70,h7,h5,10070,20070,32,-4,
71,h6,h8,10071,20071,32,-4,
72,h8,h6,10072,20072,32,-4,
73,h9,h11,10073,20073,32,-4,
74,h11,h9,10074,20074,32,-4,
75,h10,h12,10075,20075,32,-4,
76,h12,h10,10076,20076,32,-4,
77,h13,h15,10077,20077,32,-4,
78,h15,h13,10078,20078,32,-4,
79,h14,h16,10079,20079,32,-4,
80,h16,h14,10080,20080,32,-4,
81,h1,h5,10081,20081,64,-5,
82,h5,h1,10082,20082,64,-5,
83,h2,h6,10083,20083,64,-5,
84,h6,h2,10084,20084,64,-5,
85,h3,h7,10085,20085,64,-5,
86,h7,h3,10086,20086,64,-5,
87,h4,h8,10087,20087,64,-5,
88,h8,h4,10088,20088,64,-5,
89,h9,h13,10089,20089,64,-5,
90,h13,h9,10090,20090,64,-5,
91,h10,h14,10091,20091,64,-5,
92,h14,h10,10092,20092,64,-5,
93,h11,h15,10093,20093,64,-5,
94,h15,h11,10094,20094,64,-5,
95,h12,h16,10095,20095,64,-5,
96,h16,h12,10096,20096,64,-5,
97,h1,h9,10097,20097,128,-6,t2
98,h9,h1,10098,20098,128,-6,t1
