Id,src,dst,sport,dport,flowsize,startTimeslot
1,h1,h2,10001,20001,100,0
2,h2,h1,10002,20002,100,0
3,h3,h4,10003,20003,100,0
4,h4,h3,10004,20004,100,0
5,h5,h6,10005,20005,100,0
6,h6,h5,10006,20006,100,0
7,h7,h8,10007,20007,100,0
8,h8,h7,10008,20008,100,0
9,h9,h10,10009,20009,100,0
10,h10,h9,10010,20010,100,0
11,h11,h12,10011,20011,100,0
12,h12,h11,10012,20012,100,0
13,h13,h14,10013,20013,100,0
14,h14,h13,10014,20014,100,0
15,h15,h16,10015,20015,100,0
16,h16,h15,10016,20016,100,0
17,h1,h3,10017,20017,100,-1
18,h3,h1,10018,20018,100,-1
19,h2,h4,10019,20019,100,-1
20,h4,h2,10020,20020,100,-1
21,h5,h7,10021,20021,100,-1
22,h7,h5,10022,20022,100,-1
23,h6,h8,10023,20023,100,-1
24,h8,h6,10024,20024,100,-1
25,h9,h11,10025,20025,100,-1
26,h11,h9,10026,20026,100,-1
27,h10,h12,10027,20027,100,-1
28,h12,h10,10028,20028,100,-1
29,h13,h15,10029,20029,100,-1
30,h15,h13,10030,20030,100,-1
31,h14,h16,10031,20031,100,-1
32,h16,h14,10032,20032,100,-1
33,h1,h5,10033,20033,100,-2
34,h5,h1,10034,20034,100,-2
35,h2,h6,10035,20035,100,-2
36,h6,h2,10036,20036,100,-2
37,h3,h7,10037,20037,100,-2
38,h7,h3,10038,20038,100,-2
39,h4,h8,10039,20039,100,-2
40,h8,h4,10040,20040,100,-2
41,h9,h13,10041,20041,100,-2
42,h13,h9,10042,20042,100,-2
43,h10,h14,10043,20043,100,-2
44,h14,h10,10044,20044,100,-2
45,h11,h15,10045,20045,100,-2
46,h15,h11,10046,20046,100,-2
47,h12,h16,10047,20047,100,-2
48,h16,h12,10048,20048,100,-2
49,h1,h9,10049,20049,100,-3
50,h9,h1,10050,20050,100,-3
51,h2,h10,10051,20051,100,-3
52,h10,h2,10052,20052,100,-3
53,h3,h11,10053,20053,100,-3
54,h11,h3,10054,20054,100,-3
55,h4,h12,10055,20055,100,-3
56,h12,h4,10056,20056,100,-3
57,h5,h13,10057,20057,100,-3
58,h13,h5,10058,20058,100,-3
59,h6,h14,10059,20059,100,-3
60,h14,h6,10060,20060,100,-3
61,h7,h15,10061,20061,100,-3
62,h15,h7,10062,20062,100,-3
63,h8,h16,10063,20063,100,-3
64,h16,h8,10064,20064,100,-3
