Id,src,dst,sport,dport,flowsize,startTimeslot,broadcast
1,h1,h2,10001,20001,64,0,
2,h2,h1,10002,20002,64,0,
3,h3,h4,10003,20003,64,0,
4,h4,h3,10004,20004,64,0,
5,h5,h6,10005,20005,64,0,
6,h6,h5,10006,20006,64,0,
7,h7,h8,10007,20007,64,0,
8,h8,h7,10008,20008,64,0,
9,h9,h10,10009,20009,64,0,
10,h10,h9,10010,20010,64,0,
11,h11,h12,10011,20011,64,0,
12,h12,h11,10012,20012,64,0,
13,h13,h14,10013,20013,64,0,
14,h14,h13,10014,20014,64,0,
15,h15,h16,10015,20015,64,0,
16,h16,h15,10016,20016,64,0,
17,h1,h3,10017,20017,32,-1,
18,h3,h1,10018,20018,32,-1,
19,h2,h4,10019,20019,32,-1,
20,h4,h2,10020,20020,32,-1,
21,h5,h7,10021,20021,32,-1,
22,h7,h5,10022,20022,32,-1,
23,h6,h8,10023,20023,32,-1,
24,h8,h6,10024,20024,32,-1,
25,h9,h11,10025,20025,32,-1,
26,h11,h9,10026,20026,32,-1,
27,h10,h12,10027,20027,32,-1,
28,h12,h10,10028,20028,32,-1,
29,h13,h15,10029,20029,32,-1,
30,h15,h13,10030,20030,32,-1,
31,h14,h16,10031,20031,32,-1,
32,h16,h14,10032,20032,32,-1,
33,h1,h5,10033,20033,16,-2,
34,h5,h1,10034,20034,16,-2,
35,h2,h6,10035,20035,16,-2,
36,h6,h2,10036,20036,16,-2,
37,h3,h7,10037,20037,16,-2,
38,h7,h3,10038,20038,16,-2,
39,h4,h8,10039,20039,16,-2,
40,h8,h4,10040,20040,16,-2,
41,h9,h13,10041,20041,16,-2,
42,h13,h9,10042,20042,16,-2,
43,h10,h14,10043,20043,16,-2,
44,h14,h10,10044,20044,16,-2,
45,h11,h15,10045,20045,16,-2,
46,h15,h11,10046,20046,16,-2,
47,h12,h16,10047,20047,16,-2,
48,h16,h12,10048,20048,16,-2,
49,h1,h9,10049,20049,8,-3,
50,h9,h1,10050,20050,8,-3,
51,h2,h10,10051,20051,8,-3,
52,h10,h2,10052,20052,8,-3,
53,h3,h11,10053,20053,8,-3,
54,h11,h3,10054,20054,8,-3,
55,h4,h12,10055,20055,8,-3,
56,h12,h4,10056,20056,8,-3,
57,h5,h13,10057,20057,8,-3,
58,h13,h5,10058,20058,8,-3,
59,h6,h14,10059,20059,8,-3,
60,h14,h6,10060,20060,8,-3,
61,h7,h15,10061,20061,8,-3,
62,h15,h7,10062,20062,8,-3,
63,h8,h16,10063,20063,8,-3,
64,h16,h8,10064,20064,8,-3,
65,h1,h2,10065,20065,8,-4,
66,h2,h1,10066,20066,8,-4,
67,h3,h4,10067,20067,8,-4,
68,h4,h3,10068,20068,8,-4,
69,h5,h6,10069,20069,8,-4,
70,h6,h5,10070,20070,8,-4,
71,h7,h8,10071,20071,8,-4,
72,h8,h7,10072,20072,8,-4,
73,h9,h10,10073,20073,8,-4,
74,h10,h9,10074,20074,8,-4,
75,h11,h12,10075,20075,8,-4,
76,h12,h11,10076,20076,8,-4,
77,h13,h14,10077,20077,8,-4,
78,h14,h13,10078,20078,8,-4,
79,h15,h16,10079,20079,8,-4,
80,h16,h15,10080,20080,8,-4,
81,h1,h3,10081,20081,16,-5,
82,h3,h1,10082,20082,16,-5,
83,h2,h4,10083,20083,16,-5,
84,h4,h2,10084,20084,16,-5,
85,h5,h7,10085,20085,16,-5,
86,h7,h5,10086,20086,16,-5,
87,h6,h8,10087,20087,16,-5,
88,h8,h6,10088,20088,16,-5,
89,h9,h11,10089,20089,16,-5,
90,h11,h9,10090,20090,16,-5,
91,h10,h12,10091,20091,16,-5,
92,h12,h10,10092,20092,16,-5,
93,h13,h15,10093,20093,16,-5,
94,h15,h13,10094,20094,16,-5,
95,h14,h16,10095,20095,16,-5,
96,h16,h14,10096,20096,16,-5,
97,h1,h5,10097,20097,32,-6,
98,h5,h1,10098,20098,32,-6,
99,h2,h6,10099,20099,32,-6,
100,h6,h2,10100,20100,32,-6,
101,h3,h7,10101,20101,32,-6,
102,h7,h3,10102,20102,32,-6,
103,h4,h8,10103,20103,32,-6,
104,h8,h4,10104,20104,32,-6,
105,h9,h13,10105,20105,32,-6,
106,h13,h9,10106,20106,32,-6,
107,h10,h14,10107,20107,32,-6,
108,h14,h10,10108,20108,32,-6,
109,h11,h15,10109,20109,32,-6,
110,h15,h11,10110,20110,32,-6,
111,h12,h16,10111,20111,32,-6,
112,h16,h12,10112,20112,32,-6,
113,h1,h9,10113,20113,64,-7,
114,h9,h1,10114,20114,64,-7,
115,h2,h10,10115,20115,64,-7,
116,h10,h2,10116,20116,64,-7,
117,h3,h11,10117,20117,64,-7,
118,h11,h3,10118,20118,64,-7,
119,h4,h12,10119,20119,64,-7,
120,h12,h4,10120,20120,64,-7,
121,h5,h13,10121,20121,64,-7,
122,h13,h5,10122,20122,64,-7,
123,h6,h14,10123,20123,64,-7,
124,h14,h6,10124,20124,64,-7,
125,h7,h15,10125,20125,64,-7,
126,h15,h7,10126,20126,64,-7,
127,h8,h16,10127,20127,64,-7,
128,h16,h8,10128,20128,64,-7,
129,h3,h5,30051,40051,128,25,None
130,h10,h16,30052,40052,128,50,None
131,h14,h13,30053,40053,128,75,None
132,h4,h1,30054,40054,128,100,None
133,h7,h1,30055,40055,128,125,None
134,h7,h1,30056,40056,128,150,None
135,h10,h11,30057,40057,128,200,None
136,h9,h14,30058,40058,128,250,None
137,h9,h11,30059,40059,128,300,None
138,h3,h4,30060,40060,128,350,None
139,h2,h13,30061,40061,128,25,None
140,h11,h2,30062,40062,128,50,None
141,h12,h6,30063,40063,128,75,None
142,h2,h9,30064,40064,128,100,None
143,h16,h7,30065,40065,128,125,None
144,h16,h8,30066,40066,128,150,None
145,h4,h11,30067,40067,128,200,None
146,h12,h2,30068,40068,128,250,None
147,h16,h6,30069,40069,128,300,None
148,h13,h2,30070,40070,128,350,None
