Id,src,dst,sport,dport,flowsize,startTimeslot,broadcast
1,h1,h2,10001,201,128,0,
2,h2,h3,10002,202,128,0,
3,h3,h4,10003,203,128,0,
4,h4,h5,10004,204,128,0,
5,h5,h6,10005,205,128,0,
6,h6,h7,10006,206,128,0,
7,h7,h8,10007,207,128,0,
8,h8,h9,10008,208,128,0,
9,h9,h10,10009,209,128,0,
10,h10,h11,10010,20010,128,0,
11,h11,h12,10011,20011,128,0,
12,h12,h13,10012,20012,128,0,
13,h13,h14,10013,20013,128,0,
14,h14,h15,10014,20014,128,0,
15,h15,h16,10015,20015,128,0,
16,h16,h1,10016,20016,128,0,
17,h1,h2,10017,20017,128,-1,
18,h2,h3,10018,20018,128,-1,
19,h3,h4,10019,20019,128,-1,
20,h4,h5,10020,20020,128,-1,
21,h5,h6,10021,20021,128,-1,
22,h6,h7,10022,20022,128,-1,
23,h7,h8,10023,20023,128,-1,
24,h8,h9,10024,20024,128,-1,
25,h9,h10,10025,20025,128,-1,
26,h10,h11,10026,20026,128,-1,
27,h11,h12,10027,20027,128,-1,
28,h12,h13,10028,20028,128,-1,
29,h13,h14,10029,20029,128,-1,
30,h14,h15,10030,20030,128,-1,
31,h15,h16,10031,20031,128,-1,
32,h16,h1,10032,20032,128,-1,
33,h1,h2,10033,20033,128,-2,
34,h2,h3,10034,20034,128,-2,
35,h3,h4,10035,20035,128,-2,
36,h4,h5,10036,20036,128,-2,
37,h5,h6,10037,20037,128,-2,
38,h6,h7,10038,20038,128,-2,
39,h7,h8,10039,20039,128,-2,
40,h8,h9,10040,20040,128,-2,
41,h9,h10,10041,20041,128,-2,
42,h10,h11,10042,20042,128,-2,
43,h11,h12,10043,20043,128,-2,
44,h12,h13,10044,20044,128,-2,
45,h13,h14,10045,20045,128,-2,
46,h14,h15,10046,20046,128,-2,
47,h15,h16,10047,20047,128,-2,
48,h16,h1,10048,20048,128,-2,
49,h1,h2,10049,20049,128,-3,
50,h2,h3,10050,20050,128,-3,
51,h3,h4,10051,20051,128,-3,
52,h4,h5,10052,20052,128,-3,
53,h5,h6,10053,20053,128,-3,
54,h6,h7,10054,20054,128,-3,
55,h7,h8,10055,20055,128,-3,
56,h8,h9,10056,20056,128,-3,
57,h9,h10,10057,20057,128,-3,
58,h10,h11,10058,20058,128,-3,
59,h11,h12,10059,20059,128,-3,
60,h12,h13,10060,20060,128,-3,
61,h13,h14,10061,20061,128,-3,
62,h14,h15,10062,20062,128,-3,
63,h15,h16,10063,20063,128,-3,
64,h16,h1,10064,20064,128,-3,
65,h1,h2,10065,20065,128,-4,
66,h2,h3,10066,20066,128,-4,
