Id,src,dst,sport,dport,flowsize,startTimeslot,broadcast
1,h1,h2,10001,20001,128,0,
2,h2,h1,10002,20002,128,0,
3,h3,h4,10003,20003,128,0,
4,h4,h3,10004,20004,128,0,
5,h5,h6,10005,20005,128,0,
6,h6,h5,10006,20006,128,0,
7,h7,h8,10007,20007,128,0,
8,h8,h7,10008,20008,128,0,
9,h9,h10,10009,20009,128,0,
10,h10,h9,10010,20010,128,0,
11,h11,h12,10011,20011,128,0,
12,h12,h11,10012,20012,128,0,
13,h13,h14,10013,20013,128,0,
14,h14,h13,10014,20014,128,0,
15,h15,h16,10015,20015,128,0,
16,h16,h15,10016,20016,128,0,
17,h1,h3,10017,20017,128,-1,
18,h3,h1,10018,20018,128,-1,
19,h2,h4,10019,20019,128,-1,
20,h4,h2,10020,20020,128,-1,
21,h5,h7,10021,20021,128,-1,
22,h7,h5,10022,20022,128,-1,
23,h6,h8,10023,20023,128,-1,
24,h8,h6,10024,20024,128,-1,
25,h9,h11,10025,20025,128,-1,
26,h11,h9,10026,20026,128,-1,
27,h10,h12,10027,20027,128,-1,
28,h12,h10,10028,20028,128,-1,
29,h13,h15,10029,20029,128,-1,
30,h15,h13,10030,20030,128,-1,
31,h14,h16,10031,20031,128,-1,
32,h16,h14,10032,20032,128,-1,
33,h1,h5,10033,20033,128,-2,
34,h5,h1,10034,20034,128,-2,
35,h2,h6,10035,20035,128,-2,
36,h6,h2,10036,20036,128,-2,
37,h3,h7,10037,20037,128,-2,
38,h7,h3,10038,20038,128,-2,
39,h4,h8,10039,20039,128,-2,
40,h8,h4,10040,20040,128,-2,
41,h9,h13,10041,20041,128,-2,
42,h13,h9,10042,20042,128,-2,
43,h10,h14,10043,20043,128,-2,
44,h14,h10,10044,20044,128,-2,
45,h11,h15,10045,20045,128,-2,
46,h15,h11,10046,20046,128,-2,
47,h12,h16,10047,20047,128,-2,
48,h16,h12,10048,20048,128,-2,
49,h1,h9,10049,20049,128,-3,t2
50,h9,h1,10050,20050,128,-3,t1
51,h3,h5,30051,40051,128,25,None
52,h10,h16,30052,40052,128,50,None
53,h14,h13,30053,40053,128,75,None
54,h4,h1,30054,40054,128,100,None
55,h7,h1,30055,40055,128,125,None
56,h7,h1,30056,40056,128,150,None
57,h10,h11,30057,40057,128,200,None
58,h9,h14,30058,40058,128,250,None
59,h9,h11,30059,40059,128,300,None
60,h3,h4,30060,40060,128,350,None
61,h2,h13,30061,40061,128,25,None
62,h11,h2,30062,40062,128,50,None
63,h12,h6,30063,40063,128,75,None
64,h2,h9,30064,40064,128,100,None
65,h16,h7,30065,40065,128,125,None
66,h16,h8,30066,40066,128,150,None
67,h4,h11,30067,40067,128,200,None
68,h12,h2,30068,40068,128,250,None
69,h16,h6,30069,40069,128,300,None
70,h13,h2,30070,40070,128,350,None
