src,dst,sport,dport,flowsize,start,fct_abm,fct_obm,delta_abs,delta_pct,worse_algo
30,11,1481,1481,13,19366,3251,83,3168,3816.87,ABM
10,25,982,982,16,12897,2125,87,2038,2342.53,ABM
144,10,1085,1085,16,14115,3199,141,3058,2168.79,ABM
133,26,489,489,14,6115,2043,91,1952,2145.05,ABM
75,1,685,685,66,8589,4407,198,4209,2125.76,ABM
101,29,963,963,6,12601,1034,49,985,2010.2,ABM
120,29,1386,1386,34,17989,3305,172,3133,1821.51,ABM
32,28,1422,1422,6,18617,1025,55,970,1763.64,ABM
143,7,504,504,6,6330,1043,56,987,1762.5,ABM
92,4,1002,1002,29,13107,4290,237,4053,1710.13,ABM
66,10,785,785,16,10184,1074,61,1013,1660.66,ABM
135,20,1313,1313,13,17005,1037,59,978,1657.63,ABM
91,26,694,694,24,8731,1075,65,1010,1553.85,ABM
113,26,417,417,40,5014,2153,135,2018,1494.81,ABM
47,1,1167,1167,17,15209,2151,139,2012,1447.48,ABM
88,23,952,952,6,12502,1045,72,973,1351.39,ABM
105,28,1353,1353,17,17522,2133,150,1983,1322.0,ABM
61,1,270,270,20,3015,1080,76,1004,1321.05,ABM
92,16,1442,1442,18,18855,2068,147,1921,1306.8,ABM
102,25,1050,1050,6,13681,1037,74,963,1301.35,ABM
92,23,255,255,14,2940,1051,82,969,1181.71,ABM
89,2,1198,1198,42,15756,4332,338,3994,1181.66,ABM
73,12,1502,1502,28,19693,2230,175,2055,1174.29,ABM
85,18,1072,1072,20,13882,2118,167,1951,1168.26,ABM
136,27,638,638,10,8045,1041,84,957,1139.29,ABM
118,12,614,614,15,7746,2131,172,1959,1138.95,ABM
143,24,958,958,19,12571,1101,89,1012,1137.08,ABM
142,24,1298,1298,17,16767,1062,87,975,1120.69,ABM
132,29,1217,1217,6,15910,1035,85,950,1117.65,ABM
141,27,334,334,22,3735,1051,87,964,1108.05,ABM
123,25,1316,1316,9,17039,1034,88,946,1075.0,ABM
142,6,406,406,30,4785,1131,98,1033,1054.08,ABM
122,19,397,397,24,4636,1103,97,1006,1037.11,ABM
28,5,805,805,13,10492,1044,92,952,1034.78,ABM
109,20,1015,1015,8,13277,1035,92,943,1025.0,ABM
66,11,930,930,25,12204,2350,213,2137,1003.29,ABM
15,17,1240,1240,12,16137,1107,103,1004,974.76,ABM
106,25,824,824,16,10755,1039,99,940,949.49,ABM
143,22,826,826,17,10779,1080,105,975,928.57,ABM
87,12,622,622,17,7788,1071,106,965,910.38,ABM
119,32,886,886,14,11532,1174,117,1057,903.42,ABM
68,11,576,576,15,7341,1078,111,967,871.17,ABM
59,5,647,647,16,8126,1076,111,965,869.37,ABM
130,20,1352,1352,37,17517,2250,233,2017,865.67,ABM
124,27,491,491,23,6152,1091,114,977,857.02,ABM
3,23,786,786,13,10227,1047,110,937,851.82,ABM
37,8,139,139,19,1657,1060,113,947,838.05,ABM
50,18,872,872,16,11368,1046,112,934,833.93,ABM
13,28,711,711,29,8922,1135,122,1013,830.33,ABM
95,25,1077,1077,61,14005,3246,352,2894,822.16,ABM
142,28,1045,1045,44,13618,2280,251,2029,808.37,ABM
45,20,1027,1027,45,13368,2315,256,2059,804.3,ABM
36,10,987,987,40,12954,2236,249,1987,797.99,ABM
6,28,1041,1041,18,13586,1047,118,929,787.29,ABM
33,17,898,898,38,11691,1257,148,1109,749.32,ABM
68,16,923,923,17,12094,1117,132,985,746.21,ABM
53,11,1104,1104,6,14440,1033,124,909,733.06,ABM
81,11,83,83,40,1025,1252,152,1100,723.68,ABM
93,1,1478,1478,17,19336,1139,139,1000,719.42,ABM
143,21,1271,1271,23,16461,1095,135,960,711.11,ABM
124,1,1302,1302,17,16861,1061,131,930,709.92,ABM
142,31,1297,1297,38,16755,2334,292,2042,699.32,ABM
43,18,825,825,38,10763,2355,297,2058,692.93,ABM
82,30,1074,1074,26,13992,2213,280,1933,690.36,ABM
80,29,1068,1068,24,13843,1111,143,968,676.92,ABM
49,28,932,932,18,12217,1049,137,912,665.69,ABM
142,15,801,801,24,10444,1089,144,945,656.25,ABM
124,22,1296,1296,50,16753,3366,453,2913,643.05,ABM
14,24,286,286,32,3178,1131,153,978,639.22,ABM
120,22,1096,1096,86,14336,2423,330,2093,634.24,ABM
137,22,594,594,19,7578,1069,150,919,612.67,ABM
108,14,199,199,45,2257,1182,166,1016,612.05,ABM
73,13,839,839,19,10921,1145,162,983,606.79,ABM
