src,dst,sport,dport,flowsize,start,fct_abm,fct_obm,delta_abs,delta_pct,worse_algo
12,6,1332,1332,9,17334,45,3056,-3011,6691.11,OBM
9,3,1381,1381,6,17895,36,1030,-994,2761.11,OBM
9,4,1212,1212,50,15869,79,2254,-2175,2753.16,OBM
3,5,1131,1131,55,14863,83,2363,-2280,2746.99,OBM
4,11,1480,1480,86,19344,258,7005,-6747,2615.12,OBM
14,15,1495,1495,9,19523,41,1049,-1008,2458.54,OBM
29,27,1357,1357,14,17577,43,1058,-1015,2360.47,OBM
112,32,1057,1057,13,13706,45,1081,-1036,2302.22,OBM
66,1,1373,1373,6,17772,51,1034,-983,1927.45,OBM
83,30,1407,1407,25,18324,64,1213,-1149,1795.31,OBM
46,31,1224,1224,14,15990,59,1061,-1002,1698.31,OBM
43,27,1371,1371,17,17744,62,1112,-1050,1693.55,OBM
75,12,1003,1003,27,13110,71,1268,-1197,1685.92,OBM
72,29,1016,1016,10,13283,61,1087,-1026,1681.97,OBM
103,4,906,906,42,11848,192,3111,-2919,1520.31,OBM
137,8,1391,1391,6,18059,72,1047,-975,1354.17,OBM
113,28,1040,1040,13,13559,76,1090,-1014,1334.21,OBM
4,9,1486,1486,6,19438,72,1018,-946,1313.89,OBM
130,21,1390,1390,12,18059,75,1055,-980,1306.67,OBM
61,8,1142,1142,6,14933,76,1037,-961,1264.47,OBM
135,8,912,912,10,11943,79,1052,-973,1231.65,OBM
133,4,1288,1288,36,16637,132,1607,-1475,1117.42,OBM
43,31,746,746,11,9588,94,1050,-956,1017.02,OBM
133,17,833,833,29,10875,114,1253,-1139,999.12,OBM
103,7,1251,1251,49,16228,232,2486,-2254,971.55,OBM
88,19,917,917,29,12039,234,2504,-2270,970.09,OBM
54,5,1327,1327,22,17274,119,1265,-1146,963.03,OBM
14,7,1472,1472,50,19286,130,1379,-1249,960.77,OBM
17,29,1055,1055,25,13699,120,1138,-1018,848.33,OBM
52,13,1305,1305,66,16904,221,2025,-1804,816.29,OBM
66,24,1424,1424,46,18662,138,1250,-1112,805.8,OBM
4,20,1372,1372,46,17767,179,1566,-1387,774.86,OBM
126,6,1494,1494,17,19514,129,1082,-953,738.76,OBM
71,2,1418,1418,49,18537,176,1371,-1195,678.98,OBM
