src,dst,sport,dport,flowsize,start,fct_abm,fct_obm,delta_abs,delta_pct,worse_algo
100,11,769,769,49,9955,2448,608,1840,302.63,ABM
114,32,1082,1082,18,14066,55,85,-30,54.55,OBM
142,2,1073,1073,6,13946,42,38,4,10.53,ABM
110,31,1514,1514,43,19871,113,313,-200,176.99,OBM
44,13,450,450,25,5509,176,175,1,0.57,ABM
68,7,178,178,14,1985,54,49,5,10.2,ABM
77,30,423,423,33,5061,189,181,8,4.42,ABM
14,7,1472,1472,50,19286,130,1379,-1249,960.77,OBM
47,10,1138,1138,15,14905,81,180,-99,122.22,OBM
102,12,46,46,17,546,74,94,-20,27.03,OBM
49,13,967,967,50,12678,1349,389,960,246.79,ABM
139,6,1350,1350,17,17489,83,148,-65,78.31,OBM
6,30,766,766,6,9901,54,47,7,14.89,ABM
28,11,130,130,6,1534,33,31,2,6.45,ABM
20,6,1294,1294,40,16748,1208,405,803,198.27,ABM
108,27,1405,1405,6,18283,32,74,-42,131.25,OBM
74,28,889,889,46,11607,295,307,-12,4.07,OBM
38,27,961,961,17,12585,51,143,-92,180.39,OBM
42,31,243,243,6,2792,45,50,-5,11.11,OBM
108,13,1229,1229,32,16014,151,242,-91,60.26,OBM
56,11,843,843,52,10942,339,657,-318,93.81,OBM
143,29,1456,1456,6,19057,65,53,12,22.64,ABM
141,27,334,334,22,3735,1051,87,964,1108.05,ABM
105,9,1519,1519,27,19934,1111,190,921,484.74,ABM
77,6,892,892,39,11652,160,254,-94,58.75,OBM
140,4,761,761,44,9798,211,500,-289,136.97,OBM
64,20,382,382,14,4333,88,126,-38,43.18,OBM
142,31,1297,1297,38,16755,2334,292,2042,699.32,ABM
112,14,505,505,15,6331,52,158,-106,203.85,OBM
143,8,654,654,6,8221,43,45,-2,4.65,OBM
88,21,973,973,6,12741,46,61,-15,32.61,OBM
30,19,1399,1399,6,18185,19,55,-36,189.47,OBM
12,14,1415,1415,16,18477,31,43,-12,38.71,OBM
92,16,1442,1442,18,18855,2068,147,1921,1306.8,ABM
107,10,1376,1376,44,17839,1314,1696,-382,29.07,OBM
112,30,1097,1097,6,14344,34,64,-30,88.24,OBM
141,13,455,455,6,5566,117,71,46,64.79,ABM
22,23,776,776,16,10035,56,87,-31,55.36,OBM
69,29,899,899,50,11734,209,318,-109,52.15,OBM
55,25,181,181,57,2042,154,131,23,17.56,ABM
108,24,154,154,6,1809,32,31,1,3.23,ABM
142,6,406,406,30,4785,1131,98,1033,1054.08,ABM
128,3,1152,1152,22,15017,94,212,-118,125.53,OBM
19,27,726,726,6,9246,25,27,-2,8.0,OBM
33,17,898,898,38,11691,1257,148,1109,749.32,ABM
1,14,1307,1307,34,16928,138,88,50,56.82,ABM
83,29,752,752,19,9660,149,171,-22,14.77,OBM
47,5,183,183,12,2053,56,66,-10,17.86,OBM
127,14,698,698,50,8787,189,272,-83,43.92,OBM
49,31,1020,1020,6,13304,49,55,-6,12.24,OBM
71,2,1418,1418,49,18537,176,1371,-1195,678.98,OBM
79,15,1235,1235,13,16111,59,136,-77,130.51,OBM
105,7,128,128,13,1519,47,42,5,11.9,ABM
24,12,90,90,18,1153,74,76,-2,2.7,OBM
8,17,543,543,48,6825,202,202,0,0.0,tie
52,12,1103,1103,14,14436,97,122,-25,25.77,OBM
37,24,60,60,83,709,201,199,2,1.01,ABM
69,16,1042,1042,29,13598,131,270,-139,106.11,OBM
53,3,639,639,15,8061,94,101,-7,7.45,OBM
55,26,796,796,36,10369,115,236,-121,105.22,OBM
43,24,245,245,24,2814,50,55,-5,10.0,OBM
