flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h9,h49,569,569,44
h21,h65,431,431,39
h27,h7,266,266,39
h4,h111,481,481,39
h6,h127,687,687,37
h26,h131,80,80,34
h31,h12,677,677,34
h7,h23,719,719,34
h14,h23,325,325,32
h5,h100,12,12,32
h6,h66,343,343,32
h2,h76,624,624,31
h12,h122,25,25,29
h2,h82,391,391,29
h23,h138,395,395,29
h5,h34,738,738,29
h15,h105,673,673,28
h7,h78,260,260,28
h14,h121,602,602,27
h16,h38,292,292,27
h17,h105,627,627,27
h3,h128,353,353,27
h32,h30,360,360,27
h12,h124,451,451,26
h15,h17,518,518,26
h21,h10,606,606,26
h26,h117,737,737,26
h27,h127,433,433,26
h28,h95,269,269,26
h5,h100,407,407,26
h8,h98,663,663,26
h10,h102,764,764,25
h16,h68,571,571,25
h18,h119,754,754,25
h19,h40,470,470,25
h2,h76,15,15,25
h21,h1,345,345,25
h22,h131,588,588,25
h29,h49,524,524,25
h4,h51,607,607,25
h5,h76,412,412,25
h8,h44,262,262,25
h9,h108,551,551,25
h15,h89,459,459,24
h18,h84,56,56,24
h22,h142,442,442,24
h28,h10,174,174,24
h30,h54,156,156,23
h8,h98,57,57,23
h12,h110,500,500,22
h13,h93,344,344,22
h19,h124,227,227,22
h24,h7,713,713,22
h25,h34,98,98,22
h27,h140,48,48,22
h28,h60,701,701,22
h3,h119,256,256,22
h30,h95,467,467,22
h31,h94,492,492,22
h10,h105,475,475,21
h12,h89,384,384,21
h17,h98,411,411,21
h25,h58,664,664,21
h27,h138,750,750,21
h1,h23,161,161,20
h15,h75,641,641,20
h21,h73,445,445,20
h23,h117,338,338,20
h26,h13,440,440,20
h26,h4,370,370,20
h27,h77,600,600,20
h30,h103,179,179,20
h5,h112,171,171,20
h10,h28,110,110,19
h13,h78,494,494,19
h14,h99,265,265,19
h17,h43,619,619,19
h17,h44,771,771,19
h18,h4,415,415,19
h18,h48,480,480,19
h19,h6,143,143,19
h21,h117,378,378,19
h25,h131,236,236,19
h26,h68,375,375,19
h28,h63,394,394,19
h31,h58,113,113,19
h32,h100,438,438,19
h6,h87,340,340,19
h1,h91,529,529,18
h12,h32,404,404,18
h13,h35,531,531,18
h13,h97,341,341,18
h14,h107,472,472,18
h15,h125,616,616,18
h17,h79,122,122,18
h22,h35,486,486,18
h22,h80,532,532,18
h32,h33,385,385,18
h5,h130,435,435,18
h11,h70,95,95,17
h13,h57,615,615,17
h2,h121,730,730,17
h25,h132,562,562,17
h26,h128,214,214,17
h27,h34,666,666,17
h28,h40,756,756,17
h30,h133,751,751,17
h4,h113,648,648,17
h6,h74,204,204,17
h8,h29,127,127,17
h15,h20,254,254,16
h2,h18,30,30,16
h20,h76,328,328,16
h27,h100,683,683,16
h28,h142,402,402,16
h8,h46,598,598,16
h8,h57,24,24,16
h11,h52,326,326,15
h13,h144,612,612,15
h14,h130,302,302,15
h15,h85,640,640,15
h19,h3,643,643,15
h19,h76,44,44,15
h22,h69,107,107,15
h25,h82,216,216,15
h25,h99,238,238,15
h3,h121,2,2,15
h30,h140,106,106,15
h31,h87,93,93,15
h32,h70,125,125,15
h4,h15,335,335,15
h5,h131,559,559,15
h9,h31,387,387,15
h13,h43,444,444,14
h14,h118,213,213,14
h15,h13,649,649,14
h18,h142,620,620,14
h21,h56,410,410,14
h21,h6,636,636,14
h27,h91,496,496,14
h28,h56,589,589,14
h3,h26,630,630,14
h31,h59,29,29,14
h32,h51,498,498,14
h7,h15,457,457,14
h9,h25,390,390,14
h11,h43,603,603,13
h13,h15,311,311,13
h18,h57,507,507,13
h19,h15,7,7,13
h2,h141,463,463,13
h20,h123,678,678,13
h21,h21,770,770,13
h24,h54,318,318,13
h26,h117,456,456,13
h26,h124,231,231,13
h29,h82,510,510,13
h30,h32,434,434,13
h32,h121,76,76,13
h4,h15,526,526,13
h9,h3,149,149,13
h14,h1,366,366,12
h14,h53,301,301,12
h17,h103,268,268,12
h18,h60,361,361,12
h20,h22,642,642,12
h20,h58,331,331,12
h24,h17,271,271,12
h28,h137,702,702,12
h5,h64,300,300,12
h7,h22,485,485,12
h1,h91,177,177,11
h11,h103,39,39,11
h11,h36,316,316,11
h15,h98,74,74,11
h18,h24,651,651,11
h20,h35,536,536,11
h25,h6,261,261,11
h27,h132,580,580,11
h27,h66,82,82,11
h30,h55,414,414,11
h32,h88,16,16,11
h5,h65,577,577,11
h7,h30,540,540,11
h7,h58,610,610,11
h7,h79,38,38,11
h9,h39,298,298,11
h17,h28,674,674,10
h18,h27,460,460,10
h2,h53,725,725,10
h20,h26,280,280,10
h25,h139,37,37,10
h26,h20,461,461,10
h29,h39,742,742,10
h3,h128,114,114,10
h32,h33,704,704,10
h9,h4,511,511,10
h15,h6,740,740,9
h17,h28,758,758,9
h24,h120,329,329,9
h26,h42,150,150,9
h7,h48,160,160,9
h1,h10,662,662,8
h13,h115,287,287,8
h2,h109,490,490,8
h2,h141,342,342,8
h20,h129,330,330,8
h20,h20,728,728,8
h25,h131,299,299,8
h27,h132,420,420,8
h27,h70,291,291,8
h3,h24,729,729,8
h32,h16,162,162,8
h9,h92,323,323,8
h20,h112,356,356,7
h24,h28,462,462,7
h31,h90,232,232,7
h7,h63,396,396,7
h9,h141,744,744,7
h12,h132,27,27,6
h18,h55,732,732,5
h15,h78,120,120,4
h20,h57,185,185,3
h31,h68,45,45,2
h6,h77,62,62,2
h3,h106,28,28,1
h32,h72,182,182,1
