flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h6,h143,557,557,52
h8,h141,1106,1106,52
h11,h133,1452,1452,50
h20,h144,1175,1175,50
h21,h127,687,687,50
h3,h51,1440,1440,49
h4,h45,820,820,49
h5,h49,1388,1388,49
h22,h120,1096,1096,48
h25,h46,1290,1290,48
h32,h60,741,741,48
h12,h78,848,848,47
h20,h74,204,204,47
h23,h97,1515,1515,47
h27,h137,1433,1433,47
h30,h41,1292,1292,47
h5,h140,106,106,47
h7,h41,568,568,47
h1,h138,1510,1510,46
h12,h102,1128,1128,46
h15,h90,426,426,46
h19,h84,611,611,46
h16,h23,1506,1506,45
h1,h75,685,685,44
h30,h38,790,790,44
h8,h113,815,815,44
h1,h116,712,712,43
h13,h85,943,943,43
h16,h31,1421,1421,43
h19,h79,1443,1443,43
h22,h42,1213,1213,43
h25,h122,883,883,43
h27,h80,1512,1512,43
h28,h49,1287,1287,43
h18,h91,529,529,42
h19,h13,1231,1231,42
h2,h65,1409,1409,42
h21,h58,809,809,41
h23,h44,574,574,41
h7,h119,1438,1438,41
h2,h22,1361,1361,40
h21,h128,1153,1153,40
h25,h12,1202,1202,40
h26,h76,1401,1401,40
h31,h67,653,653,40
h32,h50,1243,1243,40
h5,h35,536,536,40
h10,h127,965,965,39
h17,h122,1133,1133,39
h20,h41,604,604,39
h25,h95,1077,1077,39
h27,h31,413,413,39
h31,h129,36,36,39
h6,h102,1379,1379,39
h29,h76,1052,1052,38
h7,h41,708,708,38
h1,h23,325,325,37
h28,h67,1436,1436,37
h15,h140,724,724,36
h15,h23,605,605,36
h24,h31,1130,1130,36
h27,h66,1084,1084,36
h10,h88,1169,1169,35
h11,h62,1431,1431,35
h12,h126,981,981,35
h14,h109,538,538,35
h2,h139,1225,1225,35
h24,h83,632,632,35
h24,h87,1518,1518,35
h27,h127,1066,1066,35
h29,h94,983,983,35
h8,h106,1254,1254,35
h10,h24,1166,1166,34
h13,h96,893,893,34
h16,h79,1474,1474,34
h24,h117,1266,1266,34
h24,h86,990,990,34
h26,h101,1125,1125,34
h28,h32,1014,1014,34
h8,h17,968,968,34
h12,h80,716,716,33
h18,h55,732,732,33
h3,h121,602,602,33
h30,h115,287,287,33
h6,h138,727,727,33
h7,h33,1389,1389,33
h1,h17,1017,1017,32
h15,h45,1475,1475,32
h20,h80,836,836,32
h23,h28,487,487,32
h7,h14,1472,1472,32
h9,h22,166,166,32
h12,h119,1227,1227,31
h17,h72,1088,1088,31
h19,h31,570,570,31
h26,h56,842,842,31
h4,h55,1059,1059,31
h8,h51,498,498,31
h8,h95,1173,1173,31
h9,h51,607,607,31
h9,h81,277,277,31
h11,h25,173,173,30
h17,h113,1236,1236,30
h17,h60,469,469,30
h19,h21,904,904,30
h21,h29,1241,1241,30
h23,h6,42,42,30
h32,h129,1256,1256,30
h4,h30,1448,1448,30
h4,h9,1212,1212,30
h6,h133,989,989,30
h6,h54,1367,1367,30
