flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h32,h100,438,438,32
h11,h52,326,326,31
h17,h44,771,771,29
h22,h80,532,532,27
h8,h98,663,663,27
h26,h117,737,737,25
h32,h33,704,704,25
h7,h48,160,160,24
h21,h56,410,410,23
h27,h34,666,666,23
h28,h137,702,702,22
h26,h13,440,440,21
h27,h127,433,433,21
h18,h55,732,732,20
h21,h10,606,606,20
h27,h100,683,683,20
h32,h33,385,385,20
h8,h29,127,127,20
h3,h119,256,256,19
h25,h2,676,676,17
h27,h138,750,750,17
h31,h94,492,492,17
h8,h46,598,598,17
h14,h130,302,302,16
h16,h116,73,73,16
h17,h105,627,627,16
h20,h57,185,185,16
h1,h97,608,608,15
h21,h1,345,345,15
h23,h28,487,487,15
h30,h140,106,106,15
h5,h131,559,559,15
h1,h131,631,631,14
h25,h132,562,562,14
h28,h56,589,589,14
h28,h60,701,701,14
h1,h23,161,161,13
h11,h36,316,316,13
h12,h110,500,500,13
h13,h93,344,344,13
h15,h89,459,459,13
h17,h28,674,674,13
h18,h142,620,620,13
h18,h27,460,460,13
h20,h35,536,536,13
h21,h6,636,636,13
h24,h7,713,713,13
h26,h128,214,214,13
h26,h131,80,80,13
h27,h7,266,266,13
h7,h23,719,719,13
h1,h91,177,177,12
h17,h43,619,619,12
h18,h48,480,480,12
h2,h109,490,490,12
h28,h63,394,394,12
h3,h128,114,114,12
h31,h68,45,45,12
h5,h76,412,412,12
h26,h20,461,461,11
h27,h77,600,600,11
h32,h16,162,162,11
h5,h64,300,300,11
h13,h43,444,444,10
h20,h123,678,678,10
h28,h40,756,756,10
h5,h34,738,738,10
h14,h53,301,301,9
h18,h24,651,651,9
h2,h121,730,730,9
h21,h65,431,431,9
h25,h58,664,664,9
h26,h124,231,231,9
h27,h70,291,291,9
h31,h12,677,677,9
h9,h49,569,569,9
h18,h4,415,415,8
h19,h124,227,227,8
h2,h18,30,30,8
h25,h34,98,98,8
h25,h6,261,261,8
h32,h121,76,76,8
h7,h22,485,485,8
h8,h57,24,24,8
h12,h124,451,451,7
h13,h144,612,612,7
h14,h118,213,213,7
h14,h121,602,602,7
h14,h99,265,265,7
h15,h98,74,74,7
h17,h103,268,268,7
h21,h117,378,378,7
h22,h69,107,107,7
h25,h139,37,37,7
h32,h51,498,498,7
h32,h70,125,125,7
h7,h58,610,610,7
h7,h78,260,260,7
h9,h108,551,551,7
h9,h25,390,390,7
h11,h103,39,39,6
h12,h32,404,404,6
h15,h6,740,740,6
h17,h28,758,758,6
h17,h79,122,122,6
h18,h119,754,754,6
h2,h82,391,391,6
h20,h129,330,330,6
h27,h132,420,420,6
h29,h82,510,510,6
h32,h30,360,360,6
h32,h88,16,16,6
h8,h44,262,262,6
h9,h31,387,387,6
h9,h39,298,298,6
h14,h107,472,472,5
h15,h78,120,120,5
h24,h120,329,329,5
h24,h54,318,318,5
h26,h42,150,150,5
h27,h140,48,48,5
h27,h91,496,496,5
h28,h142,402,402,5
h7,h15,457,457,5
h9,h92,323,323,5
h11,h43,603,603,4
h11,h70,95,95,4
h14,h1,366,366,4
h14,h23,325,325,4
h15,h20,254,254,4
h15,h85,640,640,4
h18,h60,361,361,4
h2,h141,342,342,4
h20,h26,280,280,4
h21,h21,770,770,4
h22,h142,442,442,4
h26,h117,456,456,4
h29,h39,742,742,4
h31,h58,113,113,4
h4,h113,648,648,4
h5,h100,407,407,4
h13,h78,494,494,3
h15,h125,616,616,3
h15,h13,649,649,3
h18,h57,507,507,3
h21,h73,445,445,3
h30,h54,156,156,3
h7,h30,540,540,3
h13,h35,531,531,2
h15,h17,518,518,2
h20,h22,642,642,2
h24,h17,271,271,2
h25,h131,299,299,2
h25,h99,238,238,2
h26,h68,375,375,2
h29,h49,524,524,2
h30,h55,414,414,2
h30,h95,467,467,2
h7,h79,38,38,2
h17,h98,411,411,1
h20,h112,356,356,1
h27,h66,82,82,1
h32,h72,182,182,1
h9,h3,149,149,1
h9,h4,511,511,1
