flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h14,h108,424,424,54
h18,h60,741,741,54
h32,h63,380,380,54
h26,h76,225,225,53
h32,h140,724,724,53
h12,h95,516,516,52
h13,h32,393,393,51
h14,h41,568,568,51
h15,h84,346,346,50
h2,h76,624,624,50
h6,h66,343,343,50
h8,h133,430,430,50
h8,h82,355,355,50
h3,h128,353,353,49
h5,h23,714,714,48
h9,h89,488,488,48
h10,h138,727,727,47
h21,h140,473,473,47
h27,h127,433,433,47
h29,h116,317,317,47
h15,h62,527,527,46
h21,h102,695,695,46
h26,h13,440,440,46
h30,h58,429,429,46
h20,h41,604,604,45
h5,h109,538,538,45
h14,h46,736,736,44
h11,h68,633,633,43
h3,h80,716,716,43
h4,h115,644,644,43
h7,h72,454,454,42
h26,h4,370,370,40
h28,h88,757,757,40
h9,h22,166,166,39
h12,h89,384,384,37
h9,h46,322,322,36
h11,h52,326,326,35
h32,h121,357,357,35
h31,h94,492,492,34
h17,h44,771,771,33
h18,h29,517,517,33
h15,h75,641,641,32
h25,h99,238,238,32
h26,h131,371,371,31
h29,h135,763,763,31
h20,h8,675,675,30
h6,h69,720,720,30
h28,h23,605,605,29
h28,h40,756,756,29
h31,h12,677,677,29
h13,h63,432,432,28
h21,h65,431,431,27
h22,h28,659,659,27
h29,h55,181,181,27
h27,h7,266,266,26
h5,h34,738,738,26
h12,h32,404,404,25
h25,h128,506,506,25
h25,h2,676,676,24
h7,h48,160,160,24
h8,h29,127,127,24
h9,h4,511,511,24
h11,h36,316,316,23
h18,h90,426,426,23
h26,h124,231,231,23
h27,h138,750,750,23
h32,h100,769,769,23
h32,h33,385,385,23
h7,h49,772,772,23
h21,h10,606,606,22
h9,h31,570,570,22
h13,h57,615,615,21
h18,h142,620,620,21
h25,h84,611,611,21
h9,h38,392,392,21
h30,h143,557,557,20
h1,h131,631,631,19
h2,h141,342,342,19
h2,h86,561,561,19
h26,h117,737,737,19
h3,h22,734,734,19
h32,h51,498,498,19
h14,h107,472,472,18
h18,h55,732,732,18
h26,h20,461,461,18
h27,h34,666,666,18
h9,h88,755,755,18
h18,h27,460,460,17
h1,h97,608,608,16
h15,h6,740,740,16
h16,h116,73,73,16
h20,h57,185,185,16
h21,h6,636,636,16
h28,h60,701,701,16
h29,h82,510,510,16
h4,h51,607,607,16
h5,h57,623,623,16
h7,h23,719,719,16
h23,h105,495,495,15
h30,h140,106,106,15
h8,h21,257,257,15
h14,h130,302,302,14
h15,h20,254,254,14
h18,h16,567,567,14
h2,h121,730,730,14
h20,h35,536,536,14
h4,h113,648,648,14
h9,h67,352,352,14
h13,h43,444,444,13
h15,h89,459,459,13
h2,h53,725,725,13
h21,h21,770,770,13
h7,h15,457,457,13
h7,h78,260,260,13
h1,h91,177,177,12
h13,h93,344,344,12
h25,h132,562,562,12
h25,h22,474,474,12
h26,h117,456,456,12
h27,h91,496,496,12
h3,h128,114,114,12
h31,h68,45,45,12
h5,h64,300,300,12
h5,h65,577,577,12
h9,h31,387,387,12
h11,h107,324,324,11
h13,h144,612,612,11
h14,h99,265,265,11
h16,h68,571,571,11
h21,h56,410,410,11
h26,h68,375,375,11
h27,h100,683,683,11
h32,h30,360,360,11
h1,h23,161,161,10
h12,h124,451,451,10
h20,h123,678,678,10
h21,h1,345,345,10
h24,h125,503,503,10
h5,h76,412,412,10
h7,h22,485,485,10
h1,h61,447,447,9
h10,h102,764,764,9
h12,h110,500,500,9
h15,h85,640,640,9
h16,h18,482,482,9
h18,h60,361,361,9
h19,h124,227,227,9
h2,h18,30,30,9
h21,h117,378,378,9
h25,h6,261,261,9
h27,h77,600,600,9
h31,h106,493,493,9
h8,h44,262,262,9
h8,h83,471,471,9
h9,h49,569,569,9
h1,h91,529,529,8
h11,h70,95,95,8
h23,h143,682,682,8
h29,h49,524,524,8
h11,h103,39,39,7
h17,h103,268,268,7
h22,h131,588,588,7
h22,h69,107,107,7
h25,h131,236,236,7
h28,h137,702,702,7
h28,h142,402,402,7
h28,h56,589,589,7
h3,h24,729,729,7
h30,h63,545,545,7
h32,h72,182,182,7
h7,h107,320,320,7
h7,h126,304,304,7
h9,h92,323,323,7
h17,h79,122,122,6
h18,h57,507,507,6
h2,h109,490,490,6
h2,h82,391,391,6
h22,h80,532,532,6
h26,h128,214,214,6
h26,h131,80,80,6
h27,h132,580,580,6
h27,h140,48,48,6
