flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h18,h60,741,741,53
h2,h86,561,561,53
h9,h89,488,488,53
h1,h24,765,765,52
h11,h40,547,547,51
h21,h102,695,695,50
h27,h127,433,433,49
h20,h41,604,604,46
h10,h138,727,727,44
h7,h72,454,454,42
h8,h133,430,430,41
h14,h23,325,325,36
h17,h44,771,771,34
h27,h138,750,750,34
h11,h52,326,326,33
h14,h121,602,602,33
h21,h6,636,636,33
h3,h128,353,353,33
h32,h121,357,357,31
h21,h10,606,606,30
h26,h13,440,440,30
h27,h91,496,496,30
h20,h123,678,678,29
h27,h7,266,266,29
h4,h15,335,335,29
h7,h30,540,540,28
h18,h55,732,732,27
h12,h107,409,409,26
h15,h75,641,641,26
h31,h59,29,29,26
h21,h1,345,345,25
h29,h82,510,510,25
h9,h38,392,392,25
h2,h18,30,30,24
h21,h21,770,770,24
h6,h66,343,343,24
h2,h141,463,463,23
h30,h32,434,434,23
h6,h127,687,687,23
h8,h21,257,257,23
h11,h36,316,316,22
h15,h84,346,346,22
h28,h137,702,702,22
h7,h48,160,160,22
h14,h1,366,366,21
h15,h125,616,616,21
h21,h117,378,378,21
h32,h51,498,498,21
h5,h65,577,577,21
h7,h23,719,719,20
h8,h29,127,127,20
h10,h105,475,475,19
h14,h130,302,302,19
h25,h132,562,562,19
h32,h16,162,162,19
h4,h113,648,648,19
h9,h67,352,352,19
h25,h99,238,238,18
h26,h131,371,371,18
h19,h3,643,643,17
h22,h121,521,521,17
h26,h124,231,231,17
h30,h95,467,467,17
h32,h100,438,438,17
h5,h131,559,559,17
h15,h20,254,254,16
h16,h116,73,73,16
h17,h103,268,268,16
h26,h20,461,461,16
h27,h66,82,82,16
h31,h58,113,113,16
h6,h10,453,453,16
h15,h89,459,459,15
h17,h28,674,674,15
h17,h79,122,122,15
h18,h3,163,163,15
h18,h4,415,415,15
h2,h82,391,391,15
h20,h35,536,536,15
h24,h17,271,271,15
h24,h7,713,713,15
h26,h117,737,737,15
h27,h132,580,580,15
h28,h40,756,756,15
h31,h87,93,93,15
h32,h72,182,182,15
h1,h97,608,608,14
h18,h142,620,620,14
h19,h15,7,7,14
h2,h76,624,624,14
h25,h131,236,236,14
h28,h60,701,701,14
h30,h103,179,179,14
h30,h54,156,156,14
h4,h23,628,628,14
h9,h31,387,387,14
h1,h131,631,631,13
h12,h32,404,404,13
h14,h53,301,301,13
h17,h105,627,627,13
h19,h76,44,44,13
h2,h141,342,342,13
h24,h120,329,329,13
h24,h54,318,318,13
h26,h128,214,214,13
h3,h119,256,256,13
h5,h112,171,171,13
h5,h34,738,738,13
h9,h39,298,298,13
h1,h91,177,177,12
h13,h15,311,311,12
h18,h24,651,651,12
h18,h27,460,460,12
h20,h129,330,330,12
h25,h2,676,676,12
h28,h95,269,269,12
h32,h20,208,208,12
h4,h15,526,526,12
h5,h64,300,300,12
h7,h22,485,485,12
h7,h78,260,260,12
h8,h44,262,262,12
h8,h98,663,663,12
h9,h25,390,390,12
h13,h78,494,494,11
h13,h93,344,344,11
h13,h97,341,341,11
h15,h13,649,649,11
h17,h98,411,411,11
h19,h124,227,227,11
h19,h6,143,143,11
h20,h76,328,328,11
h22,h80,532,532,11
h23,h138,395,395,11
h25,h139,37,37,11
h25,h6,261,261,11
h26,h42,150,150,11
h3,h24,729,729,11
h3,h26,630,630,11
h31,h12,677,677,11
h31,h68,45,45,11
h5,h100,407,407,11
h9,h92,323,323,11
h12,h110,500,500,10
h15,h17,518,518,10
h20,h26,280,280,10
h25,h82,216,216,10
h26,h131,80,80,10
h3,h128,114,114,10
h4,h51,607,607,10
h7,h126,304,304,10
h7,h63,396,396,10
h11,h103,39,39,9
h11,h70,95,95,9
h14,h107,472,472,9
h15,h6,740,740,9
h22,h69,107,107,9
h25,h34,98,98,9
h29,h49,524,524,9
h32,h70,125,125,9
h8,h57,24,24,9
h9,h3,149,149,9
h9,h4,511,511,9
h13,h43,444,444,8
h14,h118,213,213,8
h14,h99,265,265,8
h15,h98,74,74,8
h20,h22,642,642,8
h21,h56,410,410,8
h32,h33,385,385,8
h7,h15,457,457,8
h7,h58,610,610,8
h7,h79,38,38,8
h15,h85,640,640,7
h20,h112,356,356,7
h20,h20,728,728,7
h21,h73,445,445,7
h28,h142,402,402,7
h30,h55,414,414,7
h32,h121,76,76,7
h9,h141,744,744,7
h13,h144,612,612,6
h17,h43,619,619,6
h18,h119,754,754,6
h18,h60,361,361,6
h2,h109,490,490,6
h21,h65,431,431,6
h24,h106,743,743,6
h26,h68,375,375,6
h27,h132,420,420,6
h27,h140,48,48,6
h28,h63,394,394,6
h9,h30,358,358,6
h9,h49,569,569,6
h16,h68,571,571,5
h2,h121,730,730,5
h23,h30,363,363,5
h25,h131,299,299,5
h32,h88,16,16,5
h10,h13,327,327,4
h11,h43,603,603,4
h16,h12,552,552,4
h18,h57,507,507,4
h20,h57,185,185,4
h20,h8,543,543,4
h26,h117,456,456,4
h31,h94,492,492,4
h1,h10,662,662,3
h16,h44,574,574,3
h22,h124,491,491,3
h27,h70,291,291,3
h28,h56,589,589,3
h7,h132,541,541,3
h9,h108,551,551,3
