flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h12,h121,76,76,48
h29,h94,983,983,48
h31,h12,677,677,48
h4,h22,642,642,48
h17,h60,469,469,47
h21,h2,1466,1466,47
h5,h25,1278,1278,46
h6,h72,1218,1218,46
h1,h44,771,771,44
h1,h39,742,742,43
h21,h122,25,25,43
h8,h35,1207,1207,43
h17,h134,924,924,42
h12,h110,500,500,41
h6,h43,1484,1484,41
h12,h42,1360,1360,40
h31,h76,328,328,40
h1,h70,830,830,39
h11,h8,1083,1083,39
h26,h90,1114,1114,39
h6,h54,1367,1367,39
h17,h122,1133,1133,38
h18,h70,132,132,38
h14,h112,945,945,37
h15,h88,1119,1119,37
h2,h30,1105,1105,37
h21,h58,809,809,37
h27,h127,433,433,37
h3,h10,993,993,37
h31,h119,754,754,37
h12,h111,1113,1113,36
h10,h40,1081,1081,35
h12,h126,981,981,35
h12,h83,102,102,35
h7,h92,239,239,35
h8,h55,1414,1414,35
h19,h125,1123,1123,34
h23,h138,395,395,34
h25,h39,991,991,34
h9,h34,738,738,34
h21,h3,919,919,33
h26,h89,1230,1230,33
h27,h6,261,261,33
h31,h118,670,670,33
h9,h102,1325,1325,33
h13,h69,860,860,32
h32,h133,751,751,32
h17,h42,1324,1324,31
h21,h82,391,391,31
h3,h42,916,916,31
h32,h42,150,150,31
h5,h99,265,265,31
h8,h76,1245,1245,31
h16,h48,1036,1036,30
h17,h83,1226,1226,30
h19,h100,407,407,30
h20,h39,1199,1199,30
h23,h97,1515,1515,30
h26,h48,1079,1079,30
h26,h57,615,615,30
h27,h124,451,451,30
h31,h60,701,701,30
h5,h5,871,871,30
h24,h44,803,803,29
h27,h76,1295,1295,29
h4,h81,1005,1005,29
h14,h105,1499,1499,28
h14,h55,1300,1300,28
h17,h105,627,627,28
h19,h13,1231,1231,28
h2,h139,37,37,28
h20,h80,852,852,28
h21,h103,804,804,28
h21,h35,933,933,28
h27,h131,559,559,28
h3,h31,1375,1375,28
h31,h144,252,252,28
h7,h104,999,999,28
h14,h107,472,472,27
h16,h127,1010,1010,27
h17,h85,640,640,27
h23,h6,42,42,27
h27,h51,908,908,27
h31,h68,1490,1490,27
h32,h60,741,741,27
h4,h30,1448,1448,27
h7,h15,457,457,27
h11,h115,1011,1011,26
h11,h144,1411,1411,26
h11,h38,1124,1124,26
h14,h84,777,777,26
h16,h129,330,330,26
h23,h88,1155,1155,26
h24,h80,532,532,26
h25,h113,951,951,26
h28,h137,702,702,26
h4,h142,442,442,26
h10,h40,1496,1496,25
h13,h128,1018,1018,25
h24,h84,1285,1285,25
h30,h128,922,922,25
h31,h72,454,454,25
h8,h77,1211,1211,25
h9,h22,485,485,25
h10,h117,1031,1031,24
h10,h43,619,619,24
h11,h133,1452,1452,24
h11,h49,772,772,24
h14,h126,304,304,24
h15,h103,39,39,24
h19,h19,195,195,24
h2,h121,730,730,24
h2,h139,1225,1225,24
h22,h135,763,763,24
h23,h45,926,926,24
h25,h92,817,817,24
h29,h120,1511,1511,24
h29,h4,415,415,24
h32,h129,1256,1256,24
h5,h35,536,536,24
h5,h65,147,147,24
h12,h26,280,280,23
h17,h79,122,122,23
h19,h79,1443,1443,23
h27,h97,834,834,23
h28,h105,1091,1091,23
h28,h131,1215,1215,23
h3,h25,1135,1135,23
h3,h64,300,300,23
h4,h78,494,494,23
h6,h102,1379,1379,23
h9,h48,480,480,23
h1,h24,765,765,22
h10,h31,1047,1047,22
h10,h83,1023,1023,22
h10,h88,1169,1169,22
h13,h101,1146,1146,22
h13,h58,1521,1521,22
h16,h79,1474,1474,22
h17,h16,162,162,22
h20,h125,1253,1253,22
h24,h132,420,420,22
h25,h24,814,814,22
h26,h117,737,737,22
h29,h124,1223,1223,22
h29,h49,524,524,22
h30,h129,864,864,22
h31,h124,227,227,22
h31,h129,36,36,22
h31,h58,113,113,22
h4,h95,141,141,22
h6,h142,402,402,22
h7,h121,799,799,22
h8,h51,498,498,22
h9,h4,1025,1025,22
h12,h56,1408,1408,21
h14,h56,1445,1445,21
h23,h54,318,318,21
h3,h100,438,438,21
h3,h126,1056,1056,21
h31,h130,302,302,21
h32,h141,342,342,21
h6,h18,30,30,21
h8,h73,802,802,21
h9,h79,1172,1172,21
h11,h117,456,456,20
h11,h71,935,935,20
h13,h70,1022,1022,20
h14,h106,927,927,20
h15,h125,616,616,20
h16,h68,571,571,20
h18,h16,567,567,20
h19,h143,1242,1242,20
h20,h89,459,459,20
h21,h10,606,606,20
h24,h7,266,266,20
h26,h87,1441,1441,20
h27,h45,1479,1479,20
h31,h3,1182,1182,20
h32,h144,969,969,20
h5,h57,507,507,20
h7,h2,1439,1439,20
h8,h114,534,534,20
h8,h43,603,603,20
h13,h49,967,967,19
h13,h85,1308,1308,19
h14,h60,361,361,19
h19,h112,171,171,19
h19,h114,978,978,19
h19,h23,719,719,19
h2,h131,80,80,19
h24,h132,838,838,19
h25,h122,883,883,19
h26,h144,1356,1356,19
h27,h28,1067,1067,19
h28,h11,1150,1150,19
h30,h103,179,179,19
h4,h60,1374,1374,19
h5,h62,527,527,19
h7,h137,1430,1430,19
h8,h20,728,728,19
h9,h16,781,781,19
h9,h54,156,156,19
h12,h80,716,716,18
h13,h143,1111,1111,18
h15,h59,949,949,18
h16,h51,1334,1334,18
h16,h57,374,374,18
h18,h115,644,644,18
h2,h22,1361,1361,18
h20,h92,1009,1009,18
h21,h3,643,643,18
h22,h49,998,998,18
h27,h129,1238,1238,18
h27,h40,1247,1247,18
h32,h11,1206,1206,18
h32,h39,1459,1459,18
h6,h111,1257,1257,18
h7,h58,610,610,18
h8,h131,236,236,18
h8,h30,540,540,18
h1,h126,1171,1171,17
h1,h56,497,497,17
h1,h95,1064,1064,17
h10,h141,744,744,17
h10,h63,545,545,17
h15,h140,724,724,17
h17,h6,740,740,17
h18,h111,948,948,17
h2,h22,878,878,17
h20,h63,394,394,17
h24,h143,994,994,17
h25,h70,95,95,17
h25,h99,238,238,17
h27,h138,750,750,17
h29,h121,1354,1354,17
h30,h115,287,287,17
h30,h2,1219,1219,17
h32,h69,941,941,17
h4,h135,1092,1092,17
h5,h128,1233,1233,17
h5,h20,800,800,17
h7,h105,475,475,17
h8,h121,2,2,17
h8,h29,127,127,17
h8,h70,1341,1341,17
h9,h54,1208,1208,17
h10,h70,984,984,16
h10,h90,1176,1176,16
h11,h70,1427,1427,16
h12,h131,997,997,16
h12,h144,823,823,16
h12,h44,262,262,16
h13,h32,404,404,16
h15,h20,254,254,16
h16,h38,1384,1384,16
h17,h28,110,110,16
h17,h72,1465,1465,16
h18,h54,1156,1156,16
h19,h28,462,462,16
h20,h52,881,881,16
h21,h143,1239,1239,16
h21,h35,1232,1232,16
h23,h44,574,574,16
h25,h60,1387,1387,16
h28,h20,812,812,16
h28,h85,1363,1363,16
h3,h133,1508,1508,16
h3,h34,98,98,16
h3,h69,107,107,16
h30,h130,435,435,16
h30,h6,894,894,16
h31,h18,888,888,16
h32,h118,213,213,16
h4,h117,378,378,16
h4,h45,820,820,16
h5,h110,1062,1062,16
h6,h76,865,865,16
h9,h15,7,7,16
h11,h103,108,108,15
h11,h24,651,651,15
h11,h26,913,913,15
h11,h62,1322,1322,15
h11,h72,1086,1086,15
h12,h141,858,858,15
h12,h77,600,600,15
h13,h53,301,301,15
h15,h8,1304,1304,15
h16,h4,511,511,15
h17,h127,791,791,15
h18,h11,837,837,15
h18,h95,467,467,15
h19,h27,460,460,15
h20,h130,1352,1352,15
h20,h57,1021,1021,15
h25,h107,409,409,15
h25,h9,1270,1270,15
h26,h16,1061,1061,15
h27,h70,291,291,15
h29,h82,510,510,15
h3,h32,793,793,15
h3,h5,1303,1303,15
h32,h106,818,818,15
h4,h7,713,713,15
h5,h28,674,674,15
h5,h76,412,412,15
h6,h13,1259,1259,15
h6,h53,725,725,15
h6,h70,1425,1425,15
h7,h65,431,431,15
h9,h125,1078,1078,15
h1,h128,214,214,14
h10,h34,666,666,14
h10,h57,910,910,14
h10,h70,125,125,14
h12,h56,589,589,14
h13,h35,531,531,14
h15,h133,1397,1397,14
h15,h45,1475,1475,14
h16,h6,636,636,14
h18,h46,1162,1162,14
h2,h56,862,862,14
h2,h71,884,884,14
h2,h81,1043,1043,14
h20,h123,678,678,14
h20,h58,331,331,14
h21,h33,385,385,14
h22,h106,28,28,14
h22,h142,620,620,14
h23,h49,569,569,14
h28,h32,434,434,14
h28,h68,977,977,14
h29,h105,1462,1462,14
h3,h66,82,82,14
h30,h23,1174,1174,14
h30,h88,16,16,14
h31,h92,323,323,14
h32,h69,1412,1412,14
h4,h55,1059,1059,14
h6,h10,1053,1053,14
h6,h130,1380,1380,14
h6,h15,1051,1051,14
h8,h102,764,764,14
h8,h93,1132,1132,14
h9,h17,271,271,14
h9,h3,149,149,14
h9,h51,607,607,14
h1,h23,161,161,13
h10,h102,1019,1019,13
h10,h19,1315,1315,13
h11,h65,577,577,13
h12,h23,874,874,13
h12,h79,980,980,13
h13,h131,588,588,13
h13,h57,24,24,13
h13,h93,344,344,13
h15,h88,855,855,13
h16,h141,463,463,13
h18,h108,846,846,13
h18,h134,832,832,13
h18,h91,529,529,13
h19,h35,486,486,13
h2,h21,770,770,13
h20,h57,185,185,13
h22,h24,729,729,13
h22,h42,1213,1213,13
h23,h68,375,375,13
h23,h98,663,663,13
h24,h39,298,298,13
h27,h28,758,758,13
h29,h1,366,366,13
h29,h20,461,461,13
h3,h100,683,683,13
h3,h121,521,521,13
h3,h121,602,602,13
h3,h139,1065,1065,13
h30,h103,268,268,13
h30,h17,518,518,13
h31,h24,1477,1477,13
h4,h1,345,345,13
h4,h15,526,526,13
h4,h59,29,29,13
h4,h91,449,449,13
h5,h22,1435,1435,13
h7,h10,174,174,13
h7,h108,424,424,13
h7,h90,1346,1346,13
h8,h86,880,880,13
h1,h134,918,918,12
h10,h12,808,808,12
h10,h24,1166,1166,12
h10,h32,1070,1070,12
h11,h15,311,311,12
h11,h46,598,598,12
h11,h52,326,326,12
h12,h110,1134,1134,12
h13,h6,828,828,12
h13,h97,341,341,12
h15,h9,1317,1317,12
h16,h32,159,159,12
h16,h95,269,269,12
h18,h98,74,74,12
h19,h112,356,356,12
h19,h15,335,335,12
h19,h84,611,611,12
h21,h73,445,445,12
h22,h115,1398,1398,12
h24,h67,1396,1396,12
h25,h15,1301,1301,12
h26,h101,1125,1125,12
h27,h132,47,47,12
h27,h137,1433,1433,12
h27,h48,1089,1089,12
h29,h89,384,384,12
h3,h71,775,775,12
h3,h87,129,129,12
h30,h40,1193,1193,12
h31,h63,396,396,12
h32,h33,704,704,12
h4,h21,964,964,12
h4,h40,756,756,12
h4,h5,94,94,12
h4,h78,120,120,12
h6,h55,414,414,12
h7,h78,260,260,12
h8,h61,1385,1385,12
h9,h6,143,143,12
h9,h91,496,496,12
h1,h140,48,48,11
h1,h23,325,325,11
h1,h65,1344,1344,11
h11,h30,360,360,11
h11,h58,920,920,11
h13,h56,410,410,11
h15,h68,45,45,11
h16,h124,231,231,11
h18,h13,440,440,11
h19,h109,490,490,11
h19,h112,1378,1378,11
h19,h26,1196,1196,11
h22,h13,649,649,11
h22,h40,470,470,11
h25,h32,885,885,11
h25,h82,216,216,11
h26,h97,608,608,11
h27,h109,1463,1463,11
h28,h141,854,854,11
h28,h17,1326,1326,11
h28,h29,1037,1037,11
h28,h79,38,38,11
h31,h117,338,338,11
h31,h26,630,630,11
h31,h87,93,93,11
h5,h17,59,59,11
h7,h100,1469,1469,11
h7,h87,340,340,11
h8,h114,988,988,11
h8,h43,444,444,11
h9,h120,329,329,11
h9,h25,390,390,11
h11,h119,256,256,10
h11,h54,1293,1293,10
h12,h132,562,562,10
h13,h111,481,481,10
h14,h71,33,33,10
h15,h33,1364,1364,10
h17,h113,1236,1236,10
h25,h46,1290,1290,10
h32,h19,1048,1048,10
h32,h50,1243,1243,10
h6,h133,989,989,10
h6,h144,612,612,10
h8,h141,1106,1106,10
h8,h92,1139,1139,10
h10,h9,1168,1168,9
h11,h1,1450,1450,9
h19,h47,915,915,9
h22,h131,299,299,9
h24,h38,292,292,9
h29,h76,1052,1052,9
h30,h24,905,905,9
h32,h98,411,411,9
h7,h41,779,779,9
h13,h62,1280,1280,8
h15,h97,966,966,8
h25,h31,387,387,8
h32,h133,430,430,8
h4,h113,648,648,8
h5,h37,887,887,8
h6,h65,1194,1194,8
h7,h72,182,182,8
h9,h116,317,317,8
h1,h38,392,392,7
h10,h94,492,492,7
h12,h80,321,321,7
h15,h46,322,322,7
h19,h73,944,944,7
h25,h108,551,551,7
h32,h121,357,357,7
h5,h29,1491,1491,7
h11,h82,355,355,6
h18,h134,739,739,6
h21,h121,1370,1370,6
h22,h119,1426,1426,6
h4,h105,253,253,6
h8,h95,516,516,6
h25,h12,1202,1202,5
h10,h66,343,343,4
h18,h105,673,673,4
h18,h119,787,787,4
h20,h36,316,316,3
h28,h105,1353,1353,3
h29,h47,1012,1012,3
h32,h36,20,20,3
h6,h42,1186,1186,3
h6,h76,44,44,3
h21,h98,57,57,2
h26,h76,225,225,2
h18,h55,732,732,1
h2,h23,1149,1149,1
h20,h74,204,204,1
h5,h140,106,106,1
h8,h25,136,136,1
