flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h27,h66,1084,1084,54
h25,h46,1290,1290,51
h31,h40,792,792,50
h32,h42,150,150,50
h7,h57,223,223,50
h12,h102,1128,1128,49
h28,h67,1436,1436,49
h30,h38,790,790,49
h8,h61,1385,1385,49
h10,h117,1031,1031,48
h15,h30,1264,1264,48
h27,h76,1295,1295,48
h29,h133,1001,1001,48
h29,h94,983,983,48
h9,h96,1029,1029,48
h2,h21,770,770,47
h21,h94,1487,1487,47
h23,h131,631,631,47
h24,h86,990,990,47
h4,h95,141,141,47
h5,h29,1491,1491,47
h6,h130,1380,1380,47
h6,h69,1403,1403,47
h6,h74,699,699,47
h14,h84,777,777,46
h17,h72,1088,1088,46
h18,h13,440,440,46
h19,h13,1231,1231,46
h27,h6,261,261,46
h3,h133,1508,1508,46
h13,h85,1308,1308,45
h8,h113,815,815,45
h14,h105,1499,1499,44
h15,h23,605,605,44
h29,h20,461,461,44
h20,h80,836,836,43
h23,h124,1095,1095,42
h31,h72,454,454,42
h7,h103,1251,1251,42
h8,h17,968,968,42
h6,h56,954,954,41
h8,h35,1207,1207,41
h8,h77,1211,1211,41
h13,h52,1305,1305,40
h3,h51,1440,1440,38
h14,h109,538,538,37
h21,h121,1370,1370,37
h10,h19,1315,1315,36
h2,h4,972,972,36
h20,h39,1199,1199,36
h24,h83,1275,1275,36
h29,h32,393,393,36
h3,h10,993,993,36
h31,h3,1182,1182,36
h6,h53,725,725,36
h18,h48,528,528,35
h21,h128,1153,1153,35
h23,h28,487,487,35
h25,h113,951,951,35
h32,h52,1004,1004,35
h32,h58,429,429,35
h6,h54,1367,1367,35
h10,h90,1176,1176,34
h11,h54,1293,1293,34
h4,h113,648,648,34
h2,h76,624,624,33
h29,h76,1052,1052,33
h8,h114,988,988,33
h15,h90,426,426,32
h17,h122,1133,1133,32
h18,h54,1156,1156,32
h9,h140,1109,1109,32
h1,h17,1017,1017,31
h22,h135,763,763,31
h25,h95,1077,1077,31
h32,h33,704,704,31
h32,h60,741,741,31
h14,h60,361,361,30
h15,h45,1475,1475,30
h15,h8,1304,1304,30
h17,h83,1226,1226,30
h18,h91,529,529,30
h21,h137,759,759,30
h22,h42,1213,1213,30
h4,h72,1505,1505,30
h5,h49,1388,1388,30
h17,h113,1236,1236,29
h2,h80,1286,1286,29
h21,h33,385,385,29
h27,h132,1026,1026,29
h27,h48,1089,1089,29
h27,h51,908,908,29
h27,h66,1347,1347,29
h3,h42,916,916,29
h31,h76,328,328,29
h4,h9,509,509,29
h7,h65,747,747,29
h9,h6,143,143,29
h9,h79,1172,1172,29
h1,h20,1369,1369,28
h14,h4,370,370,28
h16,h141,463,463,28
h17,h127,791,791,28
h24,h44,803,803,28
h7,h119,1438,1438,28
h10,h36,987,987,27
h13,h101,1146,1146,27
h15,h140,724,724,27
h16,h79,1474,1474,27
h17,h6,740,740,27
h24,h115,1329,1329,27
h31,h144,252,252,27
h7,h76,15,15,27
h1,h23,325,325,26
h10,h70,984,984,26
h11,h65,577,577,26
h19,h21,904,904,26
h19,h27,460,460,26
h25,h12,1202,1202,26
h26,h57,615,615,26
h28,h11,1150,1150,26
h28,h68,977,977,26
h29,h121,1354,1354,26
h32,h144,969,969,26
h4,h9,1212,1212,26
h5,h140,106,106,26
h9,h34,738,738,26
h9,h48,480,480,26
h1,h24,765,765,25
h10,h88,1169,1169,25
h10,h94,492,492,25
h12,h126,981,981,25
h12,h23,874,874,25
h16,h51,1334,1334,25
h19,h9,523,523,25
h2,h23,1149,1149,25
h2,h56,862,862,25
h20,h118,705,705,25
h20,h123,678,678,25
h23,h138,395,395,25
h23,h88,1155,1155,25
h28,h105,1091,1091,25
h28,h48,637,637,25
h5,h3,1131,1131,25
h11,h1,1450,1450,24
h11,h49,772,772,24
h12,h110,1134,1134,24
h20,h80,852,852,24
h3,h121,521,521,24
h31,h12,677,677,24
h31,h63,396,396,24
h4,h117,378,378,24
h11,h48,692,692,23
h11,h72,1086,1086,23
h12,h110,500,500,23
h19,h84,611,611,23
h2,h72,1331,1331,23
h22,h24,729,729,23
h27,h127,433,433,23
h29,h82,510,510,23
h3,h101,1513,1513,23
h5,h116,1473,1473,23
h8,h86,880,880,23
h11,h8,1083,1083,22
h12,h111,1113,1113,22
h17,h72,1465,1465,22
h19,h143,1242,1242,22
h19,h79,1443,1443,22
h23,h97,1515,1515,22
h25,h70,95,95,22
h26,h101,1125,1125,22
h26,h30,762,762,22
h26,h76,1401,1401,22
h5,h5,871,871,22
h6,h72,1218,1218,22
h8,h92,1139,1139,22
h9,h51,607,607,22
h18,h11,837,837,21
h20,h36,316,316,21
h28,h69,71,71,21
h29,h47,1012,1012,21
h3,h126,1056,1056,21
h30,h115,287,287,21
h30,h128,922,922,21
h4,h123,816,816,21
h5,h128,1233,1233,21
h6,h133,989,989,21
h7,h14,1472,1472,21
h7,h15,457,457,21
